-1, 0,-1, vbBlue, 0, 0, -1, 0, 0
 0, 1, 0, vbBlue, 0, 0, -1, 1, 0
 1, 0,-1, vbBlue, 0, 0,  1, 0, 1
-1, 0, 1, vbBlue, 0, 0, -1, 1, 1
 0, 1, 0, vbBlue, 0, 0,  1, 0, 0
 1, 0, 1, vbBlue, 0, 1,  1, 0, 0
 1, 0, 1, vbBlue, 0, 0,  1, 0, 1
 0, 1, 0, vbBlue, 0, 0,  1, 1, 1
 1, 0,-1, vbBlue, 0, 0,  0, 0, 0
-1, 0, 1, vbBlue, 0, 0,  0, 1, 0
 0, 1, 0, vbBlue, 0, 0,  0, 1, 1
-1, 0,-1, vbBlue, 0, 0,  0, 0, 0
-1, 0,-1, vbBlue, 0, 0,  0, 1, 0
 0,-1, 0, vbBlue, 0, 0,  0, 0, 1
 1, 0,-1, vbBlue, 0, 0,  0, 1, 1
-1, 0, 1, vbBlue, 0, 0,  0, 0, 0
 0,-1, 0, vbBlue, 0, 0,  0, 1, 0
 1, 0, 1, vbBlue, 0, 0,  0, 1, 0
 1, 0, 1, vbBlue, 0, 0,  1, 1, 1
 0,-1, 0, vbBlue, 0, 0,  0, 1, 1
 1, 0,-1, vbblue, 0, 0,  0, 0, 0
-1, 0, 1, vbBlue, 0, 0,  0, 1, 0
 0,-1, 0, vbBlue, 0, 0,  0, 0, 1
-1, 0,-1, vbBlue, 0, 0,  0, 1, 1
